age,legacy_net_worth,stream_net_worth,diff_net_worth,legacy_debt,stream_debt,diff_debt,legacy_stock_investment,stream_stock_investment,diff_stock_investment,legacy_bond_investment,stream_bond_investment,diff_bond_investment,legacy_monthly_house_payment,stream_monthly_house_payment,diff_monthly_house_payment,legacy_savings,stream_savings,diff_savings
57,21555955.183254164,21555955.183254164,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21555955.183254164,21555955.183254164,0.0
58,22679888.667084064,22679888.667084064,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,22679888.667084064,22679888.667084064,0.0
59,23803822.150913965,23803822.150913965,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,23803822.150913965,23803822.150913965,0.0
60,24927755.634743866,24927755.634743866,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,24927755.634743866,24927755.634743866,0.0
61,26051689.118573766,26051689.118573766,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,26051689.118573766,26051689.118573766,0.0
62,27175622.602403667,27175622.602403667,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,27175622.602403667,27175622.602403667,0.0
63,28299556.086233567,28299556.086233567,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,28299556.086233567,28299556.086233567,0.0
64,29423489.570063468,29423489.570063468,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,29423489.570063468,29423489.570063468,0.0
65,30547423.05389337,30547423.05389337,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,30547423.05389337,30547423.05389337,0.0
66,0,31671356.53772327,-31671356.53772327,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,31671356.53772327,-31671356.53772327
67,0,32795290.02155317,-32795290.02155317,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,32795290.02155317,-32795290.02155317
68,0,33919223.50538306,-33919223.50538306,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,33919223.50538306,-33919223.50538306
69,0,35043156.989212915,-35043156.989212915,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,35043156.989212915,-35043156.989212915
70,0,36167090.47304277,-36167090.47304277,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,36167090.47304277,-36167090.47304277
71,0,37291023.95687263,-37291023.95687263,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,37291023.95687263,-37291023.95687263
72,0,38414957.44070248,-38414957.44070248,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,38414957.44070248,-38414957.44070248
73,0,39538890.92453234,-39538890.92453234,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,39538890.92453234,-39538890.92453234
74,0,40662824.408362195,-40662824.408362195,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,40662824.408362195,-40662824.408362195
75,0,41786757.89219205,-41786757.89219205,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,41786757.89219205,-41786757.89219205
76,0,42910691.37602191,-42910691.37602191,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,42910691.37602191,-42910691.37602191
77,0,44034624.85985176,-44034624.85985176,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,44034624.85985176,-44034624.85985176
78,0,45158558.34368162,-45158558.34368162,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,45158558.34368162,-45158558.34368162
79,0,46282491.827511474,-46282491.827511474,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,46282491.827511474,-46282491.827511474
80,0,47406425.31134133,-47406425.31134133,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,47406425.31134133,-47406425.31134133
81,0,48530358.79517119,-48530358.79517119,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,48530358.79517119,-48530358.79517119
82,0,49654292.27900104,-49654292.27900104,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,49654292.27900104,-49654292.27900104
83,0,50778225.7628309,-50778225.7628309,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,50778225.7628309,-50778225.7628309
84,0,51902159.246660754,-51902159.246660754,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,51902159.246660754,-51902159.246660754
85,0,53026092.73049061,-53026092.73049061,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,53026092.73049061,-53026092.73049061
